Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-26 00:00:00-04:00,17566.220703125,17772.779296875,17533.080078125,17718.30078125,4694400000,0.0,0.0
2024-04-29 00:00:00-04:00,17801.140625,17820.0,17671.029296875,17782.720703125,4972520000,0.0,0.0
2024-04-30 00:00:00-04:00,17720.349609375,17768.869140625,17440.689453125,17440.689453125,5229400000,0.0,0.0
2024-05-01 00:00:00-04:00,17382.779296875,17667.859375,17284.369140625,17318.55078125,5277790000,0.0,0.0
2024-05-02 00:00:00-04:00,17474.919921875,17575.80078125,17290.640625,17541.5390625,4901610000,0.0,0.0
2024-05-03 00:00:00-04:00,17848.66015625,17926.98046875,17784.779296875,17890.80078125,4887310000,0.0,0.0
2024-05-06 00:00:00-04:00,17950.98046875,18094.4609375,17937.279296875,18093.5703125,4460130000,0.0,0.0
2024-05-07 00:00:00-04:00,18106.330078125,18156.3203125,18061.609375,18091.44921875,5041870000,0.0,0.0
2024-05-08 00:00:00-04:00,17987.69921875,18135.33984375,17987.69921875,18085.009765625,4530190000,0.0,0.0
2024-05-09 00:00:00-04:00,18095.80078125,18138.01953125,18012.619140625,18113.4609375,4505120000,0.0,0.0
2024-05-10 00:00:00-04:00,18171.150390625,18247.609375,18099.73046875,18161.1796875,4402110000,0.0,0.0
2024-05-13 00:00:00-04:00,18228.400390625,18233.5,18147.5703125,18198.609375,4452750000,0.0,0.0
2024-05-14 00:00:00-04:00,18187.509765625,18339.580078125,18175.30078125,18322.76953125,7270240000,0.0,0.0
2024-05-15 00:00:00-04:00,18412.810546875,18607.529296875,18359.3203125,18596.650390625,8538990000,0.0,0.0
2024-05-16 00:00:00-04:00,18589.98046875,18669.5,18553.30078125,18557.9609375,11932600000,0.0,0.0
2024-05-17 00:00:00-04:00,18571.8203125,18590.369140625,18462.25,18546.23046875,9587280000,0.0,0.0
2024-05-20 00:00:00-04:00,18559.220703125,18703.830078125,18549.83984375,18674.189453125,6861320000,0.0,0.0
2024-05-21 00:00:00-04:00,18603.990234375,18721.1796875,18589.91015625,18713.80078125,6245090000,0.0,0.0
2024-05-22 00:00:00-04:00,18733.5390625,18756.689453125,18606.16015625,18705.19921875,7277340000,0.0,0.0
2024-05-23 00:00:00-04:00,18907.140625,18907.5390625,18554.890625,18623.390625,7752800000,0.0,0.0
2024-05-24 00:00:00-04:00,18669.359375,18851.990234375,18664.7890625,18808.349609375,5836040000,0.0,0.0
2024-05-28 00:00:00-04:00,18855.150390625,18875.19921875,18755.939453125,18869.439453125,6293380000,0.0,0.0
2024-05-29 00:00:00-04:00,18708.0703125,18814.8203125,18706.619140625,18736.75,6652480000,0.0,0.0
2024-05-30 00:00:00-04:00,18683.25,18705.259765625,18487.759765625,18538.66015625,6659290000,0.0,0.0
2024-05-31 00:00:00-04:00,18550.80078125,18574.560546875,18189.779296875,18536.650390625,6674090000,0.0,0.0
2024-06-03 00:00:00-04:00,18666.720703125,18707.220703125,18392.5703125,18600.970703125,5422040000,0.0,0.0
2024-06-04 00:00:00-04:00,18598.0,18697.94921875,18521.849609375,18654.83984375,4917350000,0.0,0.0
2024-06-05 00:00:00-04:00,18791.279296875,19035.869140625,18768.25,19035.05078125,5325000000,0.0,0.0
2024-06-06 00:00:00-04:00,19053.009765625,19071.7890625,18978.859375,19021.189453125,4960580000,0.0,0.0
2024-06-07 00:00:00-04:00,18992.580078125,19113.880859375,18958.6796875,19000.94921875,4755650000,0.0,0.0
2024-06-10 00:00:00-04:00,18945.310546875,19089.830078125,18940.7109375,19074.669921875,5207110000,0.0,0.0
2024-06-11 00:00:00-04:00,19031.400390625,19212.630859375,18966.560546875,19210.1796875,5009220000,0.0,0.0
2024-06-12 00:00:00-04:00,19358.259765625,19556.900390625,19347.279296875,19465.1796875,5560630000,0.0,0.0
2024-06-13 00:00:00-04:00,19609.05078125,19639.44921875,19473.7109375,19576.919921875,4916020000,0.0,0.0
2024-06-14 00:00:00-04:00,19557.220703125,19664.58984375,19534.619140625,19659.80078125,4973820000,0.0,0.0
2024-06-17 00:00:00-04:00,19681.859375,19977.83984375,19623.7109375,19902.75,6061200000,0.0,0.0
2024-06-18 00:00:00-04:00,19904.4296875,19940.5,19837.859375,19908.859375,5796180000,0.0,0.0
2024-06-20 00:00:00-04:00,19962.970703125,19979.9296875,19685.029296875,19752.30078125,6289300000,0.0,0.0
2024-06-21 00:00:00-04:00,19722.369140625,19801.970703125,19643.51953125,19700.4296875,8589160000,0.0,0.0
