Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-23 00:00:00+01:00,191.18092720834116,193.52020066939554,190.42115222661133,192.1806182861328,81046062,0.0,0.0
2024-04-24 00:00:00+01:00,192.50050734532184,193.40023844836597,190.18123202700738,191.08094787597656,159914286,0.0,0.0
2024-04-25 00:00:00+01:00,195.8994715950365,206.63614407801936,193.94007035797716,203.93698120117188,174179117,0.0,0.0
2024-04-26 00:00:00+01:00,201.9376003283085,204.93667360051109,199.0185041738537,204.28688049316406,107959690,0.0,0.0
2024-04-29 00:00:00+01:00,203.93697988806875,207.43589866065815,202.6373784360062,203.5870819091797,41778612,0.0,0.0
2024-04-30 00:00:00+01:00,202.58738727409823,205.98634603166278,201.73765902526335,202.6373748779297,46614733,0.0,0.0
2024-05-01 00:00:00+01:00,200.6879831465566,202.98727566804203,202.98727566804203,203.38714599609375,67105158,0.0,0.0
2024-05-02 00:00:00+01:00,204.7867288409306,204.7867288409306,204.7867288409306,200.9379119873047,22410988,0.0,0.0
2024-05-03 00:00:00+01:00,202.43743840117153,203.33715424799124,199.47834617003306,202.28749084472656,47827113,0.0,0.0
2024-05-07 00:00:00+01:00,204.18691221746215,210.60292912351213,204.0369646503894,210.2850341796875,95337526,0.0,0.0
2024-05-08 00:00:00+01:00,210.8348416788775,213.1341342028797,209.53525548424932,211.58460998535156,54664931,0.0,0.0
2024-05-09 00:00:00+01:00,214.9335872386293,214.9335872386293,211.83453871634902,213.1841278076172,32434866,0.0,0.0
2024-05-10 00:00:00+01:00,213.23411800929978,215.08353742072296,211.88452890160306,213.8839111328125,44867099,0.0,0.0
2024-05-13 00:00:00+01:00,213.8839133536381,216.13321838710394,212.5843118390426,214.48373413085938,34622487,0.0,0.0
2024-05-14 00:00:00+01:00,214.03387079256004,217.95764616011644,212.58430649307417,217.13290405273438,36942402,0.0,0.0
2024-05-15 00:00:00+01:00,217.48280203535742,218.78240351724543,212.08446093845546,213.0341796875,39563337,0.0,0.0
2024-05-16 00:00:00+01:00,213.2341215053164,215.48342655230482,211.73458480732413,214.8336181640625,45743448,0.0,0.0
