Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-25 00:00:00+01:00,8040.39990234375,8105.60009765625,8030.10009765625,8078.89990234375,1224259900,0.0,0.0
2024-04-26 00:00:00+01:00,8078.89990234375,8146.7998046875,8078.89990234375,8139.7998046875,904872200,0.0,0.0
2024-04-29 00:00:00+01:00,8139.7998046875,8189.10009765625,8136.7001953125,8147.0,759963000,0.0,0.0
2024-04-30 00:00:00+01:00,8147.0,8200.0,8138.10009765625,8144.10009765625,868339500,0.0,0.0
2024-05-01 00:00:00+01:00,8144.10009765625,8179.0,8111.39990234375,8121.2001953125,562235500,0.0,0.0
2024-05-02 00:00:00+01:00,8121.2001953125,8178.7998046875,8119.89990234375,8172.2001953125,919730600,0.0,0.0
2024-05-03 00:00:00+01:00,8172.2001953125,8248.7001953125,8172.2001953125,8213.5,658456400,0.0,0.0
2024-05-07 00:00:00+01:00,8213.5,8335.7001953125,8213.5,8313.7001953125,1220562500,0.0,0.0
2024-05-08 00:00:00+01:00,8313.7001953125,8365.2998046875,8313.7001953125,8354.099609375,1272316300,0.0,0.0
2024-05-09 00:00:00+01:00,8354.099609375,8396.2998046875,8349.7998046875,8381.400390625,1079046000,0.0,0.0
2024-05-10 00:00:00+01:00,8381.400390625,8455.7998046875,8381.400390625,8433.7998046875,698222200,0.0,0.0
2024-05-13 00:00:00+01:00,8433.7998046875,8446.5,8409.2001953125,8415.0,974791500,0.0,0.0
2024-05-14 00:00:00+01:00,8415.0,8448.7001953125,8407.0,8428.099609375,1160778700,0.0,0.0
2024-05-15 00:00:00+01:00,8428.099609375,8474.400390625,8427.900390625,8445.7998046875,1112620600,0.0,0.0
2024-05-16 00:00:00+01:00,8445.7998046875,8455.7001953125,8406.7001953125,8438.7001953125,889766900,0.0,0.0
2024-05-17 00:00:00+01:00,8438.7001953125,8441.7001953125,8401.400390625,8420.2998046875,1034395100,0.0,0.0
2024-05-20 00:00:00+01:00,8420.2998046875,8451.599609375,8418.0,8424.2001953125,739021000,0.0,0.0
2024-05-21 00:00:00+01:00,8424.2001953125,8424.2001953125,8379.099609375,8416.5,1001396500,0.0,0.0
2024-05-22 00:00:00+01:00,8416.5,8416.5,8343.400390625,8370.2998046875,1286558300,0.0,0.0
2024-05-23 00:00:00+01:00,8370.2998046875,8385.2001953125,8332.2998046875,8339.2001953125,1229161600,0.0,0.0
2024-05-24 00:00:00+01:00,8339.2001953125,8339.2001953125,8263.7998046875,8317.599609375,779070900,0.0,0.0
2024-05-28 00:00:00+01:00,8317.599609375,8335.5,8241.2998046875,8254.2001953125,1202410100,0.0,0.0
