Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 00:00:00-05:00,0.09872592985630035,0.09915514920846052,0.09872592985630035,0.09872592985630035,469033600,0.0,0.0
1980-12-15 00:00:00-05:00,0.09400454041387873,0.09400454041387873,0.09357532113790512,0.09357532113790512,175884800,0.0,0.0
1980-12-16 00:00:00-05:00,0.08713629889001713,0.08713629889001713,0.08670708537101746,0.08670708537101746,105728000,0.0,0.0
1980-12-17 00:00:00-05:00,0.08885319530963898,0.08928241470884017,0.08885319530963898,0.08885319530963898,86441600,0.0,0.0
1980-12-18 00:00:00-05:00,0.09142926335334778,0.09185847699877044,0.09142926335334778,0.09142926335334778,73449600,0.0,0.0
1980-12-19 00:00:00-05:00,0.09700904786586761,0.09743826714704135,0.09700904786586761,0.09700904786586761,48630400,0.0,0.0
1980-12-22 00:00:00-05:00,0.10173043608665466,0.10216042332098314,0.10173043608665466,0.10173043608665466,37363200,0.0,0.0
1980-12-23 00:00:00-05:00,0.10602334141731262,0.10645256060942221,0.10602334141731262,0.10602334141731262,46950400,0.0,0.0
1980-12-24 00:00:00-05:00,0.11160319298505783,0.11203241231737682,0.11160319298505783,0.11160319298505783,48003200,0.0,0.0
1980-12-26 00:00:00-05:00,0.12190520018339157,0.1223344196707642,0.12190520018339157,0.12190520018339157,55574400,0.0,0.0
1980-12-29 00:00:00-05:00,0.12362200021743774,0.12405121947408222,0.12362200021743774,0.12362200021743774,93161600,0.0,0.0
1980-12-30 00:00:00-05:00,0.12104672423303692,0.12104672423303692,0.12061751633882524,0.12061751633882523,68880000,0.0,0.0
1980-12-31 00:00:00-05:00,0.11761300898616288,0.11761300898616288,0.11718378961086273,0.11718378961086273,35750400,0.0,0.0
1981-01-02 00:00:00-05:00,0.11847145110368729,0.11932988996173767,0.11847145110368729,0.11847145110368729,21660800,0.0,0.0
1981-01-05 00:00:00-05:00,0.11632530606367941,0.11632530606367941,0.11589609831571579,0.11589609831571579,35728000,0.0,0.0
